"","Year","Month","Day","Tournament","Round","serve_pts","aces","dfs","first_in","first_won","second_in","second_won","bk_pts","bp_saved","return_pts","return_pts_won","winners","winners_fh","winners_bh","unforced","unforced_fh","unforced_bh","pts","pts_won","aces","unret","forced_err","pts_won_lte_3_shots","wide","body","t","shots","pt_ending","winners","induced_forced","unforced","serve_return","shots_in_pts_won","shots_in_pts_lost"
"35","2014","05","11","Madrid","F",84,4,4,49,33,35,12,6,1,75,31,15,7,4,34,12,18,84,45,4,0,12,24,24,38,21,268,52,11,11,30,57,109,159
"36","2014","05","27","Roland_Garros","R128",36,3,1,18,15,18,11,1,0,50,31,8,3,2,8,2,5,36,26,3,0,6,17,7,18,11,96,19,5,7,7,37,65,31
"37","2014","05","29","Roland_Garros","R64",58,5,3,32,24,26,12,6,4,69,36,19,10,4,15,7,5,58,36,5,0,6,19,7,33,17,235,43,14,17,12,57,122,113
"38","2014","05","31","Roland_Garros","R32",52,2,3,32,22,20,12,8,8,57,32,20,8,9,16,6,7,52,34,2,1,8,20,13,28,11,200,43,17,13,13,50,114,86
"39","2014","06","02","Roland_Garros","R16",66,2,6,34,20,32,16,7,3,56,33,19,9,8,25,11,8,66,36,2,0,4,11,16,36,14,295,51,17,15,19,53,176,119
"40","2014","06","04","Roland_Garros","QF",60,1,3,44,25,16,8,9,7,48,29,17,11,5,23,11,9,60,33,1,0,5,11,11,40,9,281,52,16,16,20,45,150,131
"41","2014","06","05","Roland_Garros","SF",66,3,2,50,37,16,9,1,0,67,31,23,17,3,24,15,7,66,46,3,0,5,13,16,32,17,323,54,20,12,22,56,186,137
"42","2014","06","07","Roland_Garros","F",112,1,4,71,40,41,13,20,11,115,54,20,14,5,41,17,20,112,53,1,0,7,15,24,61,27,482,68,19,12,37,89,229,253
"43","2014","06","24","Wimbledon","R128",43,3,1,26,22,17,12,0,0,68,34,19,8,8,16,8,7,43,34,3,0,12,23,10,21,12,181,39,16,8,15,50,117,64
"44","2014","06","27","Wimbledon","R64",90,5,2,59,38,31,18,7,4,92,39,27,9,11,39,21,16,90,56,5,2,14,28,27,47,16,325,68,20,11,37,70,187,138
"45","2014","06","28","Wimbledon","R32",51,6,2,31,24,20,12,3,3,76,37,24,13,5,27,20,5,51,36,6,0,6,19,19,14,18,213,56,18,13,25,63,125,88
"46","2014","07","01","Wimbledon","R16",39,2,2,19,16,20,14,2,2,56,32,18,6,8,12,6,4,39,30,2,2,7,18,11,12,16,175,29,14,5,10,45,120,55
"47","2014","07","02","Wimbledon","QF",50,3,3,25,20,25,13,2,1,53,30,16,11,2,14,8,3,50,33,3,0,10,19,14,20,16,143,33,13,9,11,41,88,55
"48","2014","07","03","Wimbledon","SF",78,1,5,50,28,28,14,9,6,67,23,12,5,6,36,15,16,78,42,1,0,9,15,18,38,22,239,51,11,9,31,50,115,124
"49","2014","07","09","Bucharest","R32",49,1,4,20,13,29,16,6,4,55,32,15,11,2,23,14,5,49,29,1,1,6,18,12,27,10,177,34,13,2,19,39,91,86
"50","2014","07","10","Bucharest","R16",59,0,3,39,26,20,6,7,4,46,26,16,9,7,28,10,15,59,32,0,0,5,10,11,38,10,246,51,16,10,25,42,130,116
"51","2014","07","11","Bucharest","QF",44,1,1,31,24,13,6,2,1,49,30,24,13,10,14,8,5,44,30,1,0,3,8,10,30,4,202,43,23,7,13,41,132,70
"52","2014","07","12","Bucharest","SF",89,7,3,61,43,28,9,9,5,82,46,34,17,10,39,16,20,89,52,7,0,7,19,36,36,17,422,78,27,15,36,73,230,192
"53","2014","07","13","Bucharest","F",51,3,2,32,23,19,12,6,5,63,34,29,12,14,11,6,3,51,35,3,0,5,17,15,21,15,206,45,26,10,9,54,135,71
"54","2014","08","14","Cincinnati","R16",68,5,6,36,23,32,19,5,3,59,27,15,8,2,28,13,9,68,42,5,0,9,19,22,22,24,231,36,10,4,22,44,125,106
"55","2014","08","15","Cincinnati","QF",83,5,4,48,22,35,16,10,2,97,48,17,6,6,31,14,13,83,38,5,0,5,18,22,44,17,341,50,12,11,27,71,166,175
"56","2014","09","24","Wuhan","R32",91,4,6,49,32,42,16,12,6,88,39,22,9,6,40,15,19,91,48,4,3,15,26,28,33,30,313,59,15,10,34,68,159,154
"57","2014","09","29","Beijing","R16",57,0,2,31,20,26,18,2,2,55,27,14,7,6,23,9,12,57,38,0,1,5,7,24,10,23,302,47,13,13,21,45,177,125
"58","2014","10","01","Beijing","R32",65,4,2,36,28,29,14,5,3,77,33,15,6,5,27,7,18,65,42,4,0,12,22,17,28,20,228,44,11,8,25,61,110,118
"59","2014","10","03","Beijing","R16",108,3,8,63,38,45,19,12,3,110,52,32,20,9,68,33,27,108,57,3,0,7,21,34,48,26,447,107,29,18,60,88,230,217
"60","2014","10","20","Singapore","RR",47,0,1,23,19,24,15,2,2,56,26,11,5,5,16,9,6,47,34,0,1,12,18,14,21,12,138,26,10,1,15,41,75,63
"61","2014","10","22","Singapore","RR",53,2,2,34,22,19,13,6,6,42,25,10,4,4,16,7,7,53,35,2,0,5,14,14,21,18,179,29,8,7,14,27,110,69
"62","2014","10","24","Singapore","RR",101,6,8,68,46,33,12,13,8,109,46,31,15,10,49,14,27,101,58,6,0,20,38,31,30,40,320,75,25,9,41,87,140,180
"63","2014","10","25","Singapore","SF",47,4,4,27,23,20,10,2,1,48,26,25,13,8,19,8,7,47,33,4,0,6,14,13,17,17,244,45,21,9,15,41,141,103
"64","2014","10","26","Singapore","F",51,2,3,28,13,23,8,9,3,51,20,5,2,1,23,12,8,51,21,2,0,7,12,9,28,14,147,28,3,5,20,37,50,97
"65","2015","01","06","Shenzhen","R32",77,4,9,51,33,26,14,6,2,85,37,25,10,10,40,12,19,77,47,4,1,7,18,17,27,32,364,62,20,11,31,68,204,160
"66","2015","01","08","Shenzhen","QF",55,2,4,35,24,20,10,5,3,50,23,15,10,3,20,10,6,55,34,2,0,6,13,15,26,12,190,44,13,15,16,43,115,75
"67","2015","01","08","Shenzhen","R16",51,3,2,35,24,16,9,6,5,56,30,13,6,2,16,9,5,51,33,3,2,6,15,18,16,16,200,31,8,9,14,42,119,81
"68","2015","01","09","Shenzhen","SF",53,1,4,34,23,19,9,6,4,52,30,21,15,4,21,9,8,53,32,1,1,5,8,17,23,13,248,48,19,12,17,44,146,102
"69","2015","01","10","Shenzhen","F",40,1,0,27,22,13,8,0,0,53,26,19,11,7,12,5,7,40,30,1,0,6,10,14,10,16,209,37,18,7,12,44,131,78
